,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
131,127,Tari Eason,PF,21,HOU,36,0,19.0,3.2,7.4,.427,0.8,2.2,.372,2.4,5.3,.450,.481,1.3,1.6,.825,2.1,3.3,5.4,0.8,1.2,0.5,1.0,2.2,8.4,2023
132,128,Anthony Edwards,SG,21,MIN,37,37,36.9,8.6,18.5,.464,2.6,7.1,.368,6.0,11.5,.524,.534,4.1,5.5,.737,0.7,5.5,6.2,4.4,1.8,0.5,3.2,2.8,23.9,2023
133,129,Kessler Edwards,SF,22,BRK,13,1,5.7,0.5,1.7,.273,0.2,0.8,.182,0.3,0.8,.364,.318,0.1,0.2,.500,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,1.2,2023
134,130,Keon Ellis,SG,23,SAC,3,0,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,2023
135,131,Joel Embiid,C,28,PHI,27,27,35.4,11.1,21.0,.528,1.0,3.1,.329,10.1,17.9,.563,.553,9.9,11.7,.848,1.8,8.0,9.8,4.6,1.2,1.7,3.9,3.3,33.2,2023
136,132,Drew Eubanks,C,25,POR,33,5,18.3,2.5,3.4,.748,0.1,0.1,.667,2.5,3.3,.750,.757,0.8,1.2,.650,1.5,2.7,4.2,1.0,0.5,1.0,0.8,2.0,5.9,2023
137,133,Bruno Fernando,C,24,HOU,19,4,11.4,1.5,2.7,.558,0.0,0.1,.000,1.5,2.7,.569,.558,0.8,1.4,.615,1.5,2.1,3.6,0.9,0.3,0.7,0.6,2.3,3.9,2023
138,134,Dorian Finney-Smith,PF,29,DAL,31,31,31.6,3.0,7.5,.401,1.9,5.4,.345,1.1,2.1,.547,.526,0.5,0.8,.640,1.4,2.6,4.0,1.2,1.0,0.5,0.9,1.9,8.4,2023
139,135,Malachi Flynn,PG,24,TOR,24,1,15.9,2.4,6.0,.393,1.4,3.3,.418,1.0,2.8,.364,.507,0.5,0.6,.800,0.4,1.3,1.8,1.5,0.4,0.1,0.6,1.5,6.6,2023
140,136,Simone Fontecchio,SF,27,UTA,21,0,9.0,1.3,3.4,.375,0.9,2.4,.353,0.4,1.0,.429,.500,0.4,0.7,.643,0.5,0.7,1.1,0.4,0.1,0.2,0.5,0.9,3.9,2023
141,137,Bryn Forbes,SG,29,MIN,21,0,10.6,1.1,3.3,.333,0.4,1.7,.250,0.7,1.6,.424,.399,0.6,0.6,1.000,0.2,0.4,0.6,0.6,0.3,0.0,0.4,0.8,3.2,2023
142,138,Trent Forrest,PG,24,ATL,15,3,14.1,1.5,3.1,.478,0.0,0.1,.000,1.5,2.9,.500,.478,0.1,0.2,.667,0.3,1.4,1.7,1.9,0.4,0.1,0.5,0.9,3.1,2023
143,139,Michael Foster Jr.,PF,20,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
144,140,Evan Fournier,SG,30,NYK,15,7,19.7,2.5,6.9,.356,1.5,4.4,.333,1.0,2.5,.395,.462,0.9,1.0,.867,0.1,1.9,2.0,1.5,0.7,0.2,1.1,1.9,7.3,2023
145,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
146,141,De'Aaron Fox,PG,25,SAC,31,31,32.7,8.7,17.3,.503,1.7,5.1,.340,7.0,12.2,.571,.553,4.4,5.6,.787,0.4,4.3,4.7,5.9,0.9,0.4,2.6,2.6,23.6,2023
147,142,Markelle Fultz,SG,24,ORL,16,16,26.9,4.7,10.4,.452,0.6,1.6,.360,4.1,8.8,.468,.479,1.4,2.1,.667,1.3,2.8,4.1,5.3,1.6,0.3,2.2,2.3,11.3,2023
148,143,Wenyen Gabriel,PF,25,LAL,27,2,14.4,2.3,3.7,.604,0.2,0.6,.375,2.0,3.1,.647,.634,1.0,1.3,.765,1.6,2.4,4.0,0.5,0.4,0.5,0.7,2.0,5.7,2023
149,144,Daniel Gafford,C,24,WAS,37,6,15.8,2.9,3.9,.750,0.0,0.0,,2.9,3.9,.750,.750,1.2,2.0,.608,1.8,2.8,4.6,0.5,0.4,1.2,0.9,2.0,7.1,2023
150,145,Darius Garland,PG,23,CLE,30,30,35.9,7.4,16.4,.450,2.5,6.2,.400,4.9,10.2,.480,.525,4.1,4.8,.867,0.4,2.2,2.6,7.8,1.3,0.2,3.2,2.0,21.3,2023
151,146,Usman Garuba,PF,20,HOU,34,1,14.8,1.3,2.6,.500,0.3,0.6,.429,1.0,2.0,.522,.551,0.5,0.9,.516,2.0,3.1,5.1,1.0,0.8,0.6,0.7,1.6,3.3,2023
152,147,Luka Garza,C,24,MIN,8,0,5.5,1.4,2.3,.611,0.0,0.5,.000,1.4,1.8,.786,.611,1.1,1.3,.900,0.6,0.8,1.4,0.5,0.0,0.0,0.3,1.1,3.9,2023
153,148,Rudy Gay,SF,36,UTA,25,0,15.6,1.7,4.8,.355,0.6,2.6,.234,1.1,2.3,.491,.417,0.5,0.7,.765,0.6,2.4,3.0,0.7,0.5,0.4,0.6,1.3,4.6,2023
